How do you run your containers on AWS?,Are you scanning your container images?,Are you scanning containers at runtime?,How are you managing sensitive data?,Are you signing container images?,How are you managing your supply chain?,Are you using Kubernetes?,Kubernetes: network policies,Kubernetes: pod security policies,Kubernetes: user management,Kubernetes: pod-level IAM roles,Any other security-related feature of AWS you're using? Any container security tool?,My role in the team/organization is …,Submitted At,Token
EKS on EC2,Native ECR scanning,"Nope, not scanning containers (yet)",AWS Secrets Manager,"Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",TRUE,"Calico, mh9",TRUE,IAM users/roles,IAM roles for service accounts (IRSA),Ignite,,12/9/2019 11:16:43,hffbbjn8bdgy7pvo8vcdi5snhffbbj3t
EKS on EC2,Native ECR scanning,"Nope, not scanning containers (yet)",AWS Secrets Manager,"Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",TRUE,Calico,TRUE,IAM users/roles,IAM roles for service accounts (IRSA),,,12/9/2019 11:26:28,ijlzs4vk18mkpknddiijlz8l25trweo2
"ECS on EC2, ECS on Fargate",Native ECR scanning,"Nope, not scanning containers (yet)","AWS Secrets Manager, AWS Parameter Store","Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",FALSE,,,,,,,12/9/2019 13:50:18,fdr3ey7rnf5unbzh8wfdr3qjuml7ranc
HashiCorp Nomad,"Nope, not scanning images (yet)","Nope, not scanning containers (yet)",HashiCorp Vault,"Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",FALSE,,,,,,,12/9/2019 13:54:50,o7x34z8er7sv871vnpo7x34fl96omh5t
"ECS on EC2, ECS on Fargate","Native ECR scanning, Aqua Security","Nope, not scanning containers (yet)","AWS Parameter Store, Encrypted S3 Bucket","Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",FALSE,,,,,Alert Logic is being used on our clusters for classic ECS.,,12/9/2019 13:55:33,m5hhtfadvs2ts70z6am5hhtf7301qwc9
ECS on EC2,"Nope, not scanning images (yet)","Nope, not scanning containers (yet)","AWS Parameter Store, HashiCorp Vault","Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",FALSE,,,,,Built our own security around containers....,,12/9/2019 13:56:46,svcexmbx1ffsy6svcxj1tfsj7onvc1tx
"ECS on Fargate, ECS on EC2",Native ECR scanning,"Nope, not scanning containers (yet)","AWS Secrets Manager, AWS Parameter Store","Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",FALSE,,,,,,,12/9/2019 14:03:14,w26xgm1dapifmr6diw26uxrrahkhavdz
"ECS on EC2, ECS on Fargate",Qualys,"Nope, not scanning containers (yet)",HashiCorp Vault,"Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",FALSE,,,,,No,,12/9/2019 14:28:52,md6a6jv3mx57m3zewymd6a6j21ws3u7k
"ECS on EC2, ECS on Fargate, EKS on EC2, DIY Kubernetes (kops, etc.)","Nope, not scanning images (yet)","Nope, not scanning containers (yet)","AWS Parameter Store, HashiCorp Vault","Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",TRUE,"Calico, Via a service mesh",TRUE,"IAM users/roles, SSO (OpenID Connect/dex, etc.)",IAM roles for service accounts (IRSA),,,12/9/2019 14:33:33,kc71pvl60o5y3ck8prj5kc71pdak4sh6
"ECS on EC2, ECS on Fargate, EKS on EC2",Native ECR scanning,"Nope, not scanning containers (yet)","AWS Secrets Manager, AWS Parameter Store","Nope, not signing my images (yet)","Nope, not managing my supply chain (yet)",TRUE,,FALSE,IAM users/roles,IAM roles for service accounts (IRSA),,,12/9/2019 14:37:53,jrx2rg9oggd6p4jpjrx220qv3x2a3huf
